#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130 http_hostname:131
172.16.1.200 44544 12 0 11 4 2825 6 2825 0 0 0 1 1 172.16.1.1 50770 8 0 8 4 1906 2 1906 0 0 0 1 1 1537017184417.941895 1537017184673.614990 255.673000 26.019000 60.434000 192.192000 112.993000 24.980000 60.434000 1 1 0 0 8192 0 0 30.258496 24.426000 38.603000 6.308540 6 64 64 0.160246 0.010000 0.540000 0.253864 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 1369 1 343 0 0 0 0 0 0 0 0 0 1 1 8 1 0 1460 1018 888 35840 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 6 2 - - 0 0 0 74.390000 112.993000 113.533000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 44540 12 0 11 4 2825 6 2825 0 0 0 1 1 172.16.1.1 50770 8 0 8 4 1906 2 1906 0 0 0 1 1 1537017184417.797119 1537017184673.634033 255.837000 26.123000 60.654000 192.416000 91.012000 25.082000 60.654000 1 1 0 0 8192 0 0 28.229030 24.278000 34.531000 4.919623 6 64 64 2.642434 0.008000 10.496000 5.235682 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 1369 1 343 0 0 0 0 0 0 0 0 0 1 1 8 1 0 1460 1018 888 35840 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 6 2 - - 0 0 0 64.467000 91.012000 101.508000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 44542 11 0 10 3 2825 6 2825 0 0 0 1 1 172.16.1.1 50770 8 0 8 4 1906 2 1906 0 0 0 1 1 1537017184417.873047 1537017184673.639893 255.767000 26.078000 61.075000 192.269000 113.103000 25.091000 60.616000 1 1 0 0 8192 0 0 30.255662 24.356000 38.652000 6.378447 6 64 64 0.143496 0.032000 0.466000 0.215033 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 1369 1 343 0 0 0 0 0 0 0 0 0 1 1 8 1 0 1460 1018 888 35840 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 6 2 - - 0 0 0 74.451000 113.103000 113.569000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 44538 22 0 21 3 11218 17 13300 2 2082 4 1 1 172.16.1.1 50770 18 0 18 14 1906 2 1906 0 0 0 1 1 1537017184417.663086 1537017184673.695068 256.032000 25.565000 50.360000 192.482000 80.653000 25.167000 49.994000 1 1 0 0 8192 0 0 27.077537 24.275000 34.409000 3.973066 8 64 64 0.117497 0.008000 0.362000 0.164444 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 8262 1 343 0 0 4 0 2 0 0 0 0 1 1 8 1 6 1460 1018 888 56576 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 11 2 - - 0 0 0 53.170000 80.653000 81.015000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 33668 31 0 30 4 32118 25 33197 2 1079 9 1 1 172.16.1.1 50223 30 0 30 26 1906 2 1906 0 0 0 1 1 1537017190950.760986 1537017191207.523926 256.763000 28.029000 55.128000 192.907000 86.693000 27.189000 55.128000 1 1 0 0 8192 0 0 26.677917 24.173000 34.217000 3.405707 8 64 64 1.149971 0.095000 3.747000 1.751808 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 2896 17 47104 42340 0 28531 1 343 0 1 9 0 1 0 0 0 0 1 1 8 1 16 1460 1018 888 103936 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 13 2 - - 0 0 0 90.049000 86.693000 97.092000 0.000000 11082 0 - - 0.0 0.0 -
172.16.1.200 33670 12 0 11 4 2825 6 2825 0 0 0 1 1 172.16.1.1 50223 8 0 8 4 1906 2 1906 0 0 0 1 1 1537017190943.400879 1537017191212.261963 268.861000 39.824000 65.449000 190.319000 98.646000 39.260000 65.449000 1 1 0 0 8192 0 0 27.309878 24.121000 34.275000 3.893613 6 64 64 5.344116 0.545000 10.051000 5.424562 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 1369 38 343 0 0 0 0 0 0 0 0 0 1 1 8 1 0 1460 1018 888 35584 28960 0 1018 1 888 0 0 0 0 0 0 0 0 0 0 0 --- 6 2 - - 0 0 0 72.205000 98.646000 99.395000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 33664 11 0 10 3 2825 6 2825 0 0 0 1 1 172.16.1.1 50223 8 0 8 4 1906 2 1906 0 0 0 1 1 1537017190943.402100 1537017191212.327881 268.926000 39.539000 74.025000 190.326000 113.024000 39.134000 63.748000 1 1 0 0 8192 0 0 27.119881 24.209000 36.322000 4.894882 6 64 64 5.550611 0.352000 10.048000 5.221825 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 1369 38 343 0 0 0 0 0 0 0 0 0 1 1 8 1 0 1460 1018 888 35840 28960 0 1018 1 888 0 0 0 0 0 0 0 0 0 0 0 --- 6 2 - - 0 0 0 76.702000 113.024000 113.376000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 33666 11 0 10 3 2825 6 2825 0 0 0 1 1 172.16.1.1 50223 9 0 9 5 1906 2 1906 0 0 0 1 1 1537017190950.679932 1537017191217.288086 266.608000 38.034000 72.588000 192.973000 102.759000 27.261000 62.289000 1 1 0 0 8192 0 0 28.665856 24.160000 34.254000 4.549054 6 64 64 3.309667 0.043000 10.047000 4.577278 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 1369 1 343 0 0 0 0 0 0 0 0 0 1 1 8 1 0 1460 1018 888 35840 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 6 2 - - 0 0 0 74.783000 102.759000 103.713000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 55562 12 0 11 4 2825 6 2825 0 0 0 1 1 172.16.1.1 50892 8 0 8 4 1906 2 1906 0 0 0 1 1 1537017191372.362061 1537017191632.628906 260.267000 34.743000 60.037000 197.094000 98.472000 24.397000 60.037000 1 1 0 0 8192 0 0 26.499058 24.214000 36.264000 4.799385 6 64 64 0.313492 0.099000 0.543000 0.184102 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 1369 1 343 0 0 0 0 0 0 0 0 0 1 1 8 1 0 1460 1018 888 35840 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 6 2 - - 0 0 0 62.208000 98.472000 99.015000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 55564 12 0 11 3 2970 7 2970 0 0 1 1 1 172.16.1.1 50892 9 0 9 5 1906 2 1906 0 0 0 1 1 1537017191372.662109 1537017191636.852051 264.190000 25.592000 60.314000 186.784000 110.104000 24.264000 49.886000 1 1 0 0 8192 0 0 28.584228 24.155000 36.157000 6.021971 5 64 64 5.114122 0.009000 10.294000 5.838328 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 1369 38 343 0 0 1 0 0 0 0 0 0 1 1 8 1 1 1460 1018 888 41216 28960 0 1018 1 888 0 0 0 0 0 0 0 0 0 0 0 --- 6 2 - - 0 0 0 73.947000 110.104000 120.398000 0.000000 1713 0 - - 0.0 0.0 -
