#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130 http_hostname:131
172.16.1.200 59046 12 0 11 4 2825 6 2825 0 0 2 1 1 172.16.1.1 50395 10 0 10 6 1906 2 1906 0 0 0 1 1 1537023314585.803955 1537023314879.258057 293.454000 36.120000 69.834000 215.915000 129.333000 35.082000 69.834000 1 1 0 0 8192 0 0 31.524962 24.460000 42.913000 8.694051 4 64 64 4.302142 0.014000 10.066000 5.092382 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 1369 1 343 0 0 2 0 0 0 0 0 0 1 1 8 1 2 1460 1018 888 41216 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 4 2 - - 0 0 0 136.440000 129.333000 136.454000 0.000000 1730 0 - - 0.0 0.0 -
172.16.1.200 59042 15 0 14 4 5948 9 5948 0 0 3 1 1 172.16.1.1 50395 12 0 12 8 1906 2 1906 0 0 0 1 1 1537023314585.678955 1537023314889.316895 303.638000 35.465000 69.976000 216.199000 125.657000 25.094000 69.976000 1 1 0 0 8192 0 0 33.416132 25.038000 39.126000 5.130801 5 64 64 2.758681 0.019000 10.128000 4.927112 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 4198 1 343 0 1 2 0 0 0 0 0 0 1 1 8 1 3 1460 1018 888 44800 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 6 2 - - 0 0 0 86.531000 125.657000 126.489000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 59048 15 0 14 4 5076 9 5076 0 0 2 1 1 172.16.1.1 50395 11 0 11 7 1906 2 1906 0 0 0 1 1 1537023314585.666992 1537023314889.335938 303.669000 36.265000 70.013000 216.260000 125.688000 25.149000 70.013000 1 1 0 0 8192 0 0 32.736954 25.119000 37.254000 4.196687 6 64 64 2.747681 0.017000 10.920000 5.448169 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 2285 1 343 0 0 2 0 0 0 0 0 0 1 1 8 1 2 1460 1018 888 44032 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 7 2 - - 0 0 0 88.434000 125.688000 136.608000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 59044 14 0 13 3 5844 9 5844 0 0 0 1 1 172.16.1.1 50395 10 0 10 6 1906 2 1906 0 0 0 1 1 1537023314585.745117 1537023314889.342041 303.597000 35.130000 69.835000 216.291000 125.534000 35.130000 59.515000 1 1 0 0 8192 0 0 31.890302 24.385000 39.073000 5.847171 6 64 64 2.743431 0.007000 10.026000 4.873814 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 3074 1 343 0 0 0 0 0 0 0 0 0 1 1 8 1 0 1460 1018 888 41984 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 9 2 - - 0 0 0 86.461000 125.534000 126.455000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 41856 10 0 9 4 1767 4 1767 0 0 1 1 1 172.16.1.1 50380 8 0 8 4 1906 2 1906 0 0 0 1 1 1537023319898.437988 1537023320125.878906 227.441000 45.256000 80.647000 131.493000 121.150000 36.987000 71.121000 1 1 0 0 8192 0 0 33.211420 25.865000 37.919000 5.157828 4 64 64 0.690483 0.021000 2.148000 1.001085 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 1369 1 343 0 0 1 0 0 0 0 0 0 1 1 8 1 1 1460 1018 888 35840 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 3 2 - - 0 0 0 121.695000 121.150000 131.493000 0.000000 1730 0 - - 0.0 0.0 -
172.16.1.200 41858 9 0 8 3 1767 4 1767 0 0 0 1 1 172.16.1.1 50380 8 0 8 4 1906 2 1906 0 0 0 1 1 1537023319904.020020 1537023320126.340088 222.320000 35.451000 60.732000 116.105000 103.116000 35.451000 59.947000 1 1 0 0 8192 0 0 29.177816 24.496000 34.358000 4.896191 5 64 64 2.910427 0.132000 10.015000 4.753590 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 1369 1 343 0 0 0 0 0 0 0 0 0 1 1 8 1 0 1460 1018 888 33024 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 4 2 - - 0 0 0 74.989000 103.116000 103.518000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 41860 26 0 25 4 22185 20 25346 4 3161 7 1 1 172.16.1.1 50380 24 0 24 20 1906 2 1906 0 0 0 1 1 1537023319898.437012 1537023320126.353027 227.916000 38.418000 63.236000 151.916000 107.066000 28.016000 62.721000 1 1 0 0 8192 0 0 29.901402 24.303000 34.260000 4.308130 5 64 64 1.533462 0.026000 5.323000 2.532732 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 2896 38 47104 42340 0 17312 1 343 0 0 8 0 3 0 0 0 0 1 1 8 1 13 1460 1018 888 77824 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 6 2 - - 0 0 0 107.943000 107.066000 117.514000 0.000000 11082 0 - - 0.0 0.0 -
172.16.1.200 41862 9 0 8 3 1767 4 1767 0 0 0 1 1 172.16.1.1 50380 8 0 8 4 1906 2 1906 0 0 0 1 1 1537023319898.429932 1537023320128.496094 230.066000 28.460000 63.282000 131.685000 115.515000 28.460000 52.841000 1 1 0 0 8192 0 0 27.656247 24.292000 36.908000 5.357275 5 64 64 7.796305 0.738000 10.374000 4.708376 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 1369 1 343 0 0 0 0 0 0 0 0 0 1 1 8 1 0 1460 1018 888 33024 28960 0 1018 1 888 0 0 0 0 0 0 0 0 0 0 0 --- 4 2 - - 0 0 0 78.607000 115.515000 125.889000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 39100 9295 0 9294 38 72891546 9255 72991330 77 99784 4897 1 1 172.16.1.1 50259 17681 0 17681 17677 1906 2 1906 0 0 0 1 1 1537023322549.718994 1537023340647.297119 18097.578000 34.948000 75.141000 17812.895000 123.725000 34.453000 74.985000 1 1 0 0 8192 0 0 27.517403 24.104000 51.256000 4.059883 1149 64 64 1.754956 0.028000 6.625000 3.248793 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 53091 12 47104 42340 0 449947 1 343 7 11 4887 0 69 0 0 0 0 1 1 8 1 16066 1460 1018 888 629504 512 1 1018 1 888 0 0 0 0 0 0 0 0 0 0 0 --- 3787 2 - - 0 0 0 87.571000 123.725000 124.021000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 39104 11584 0 11583 38 73135140 11544 73212286 56 77146 6996 1 1 172.16.1.1 50259 19136 0 19136 19132 1906 2 1906 0 0 0 1 1 1537023322560.030029 1537023340649.297119 18089.267000 34.581000 69.193000 17838.323000 98.185000 34.581000 62.260000 1 1 0 0 8192 0 0 27.560748 24.103000 69.703000 4.586382 1158 64 64 1.909202 0.031000 6.653000 3.169734 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 53576 3 47104 42340 0 570515 1 343 10 23 6973 0 46 0 0 0 0 1 1 8 1 17954 1460 1018 888 600320 256 1 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 3855 2 - - 0 0 0 98.978000 98.185000 108.552000 0.000000 9000 0 - - 0.0 0.0 -
172.16.1.200 39106 10501 0 10500 38 72265905 10461 72368729 75 102824 6007 1 1 172.16.1.1 50259 18404 0 18404 18400 1906 2 1906 0 0 0 1 1 1537023322560.096924 1537023340658.565918 18098.469000 44.720000 79.250000 17713.519000 108.002000 34.178000 78.841000 1 1 0 0 8192 0 0 27.600173 24.108000 52.957000 4.272919 1103 64 64 1.767456 0.045000 6.552000 3.193534 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 44888 14 47104 42340 0 550512 1 343 8 6 5988 0 80 0 0 0 0 1 1 8 1 17060 1460 1018 888 508672 256 1 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 3770 2 - - 0 0 0 81.732000 108.002000 108.396000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 39102 21615 0 21614 37 67328618 21576 67649552 242 320934 16410 1 1 172.16.1.1 50259 23631 0 23631 23627 1906 2 1906 0 0 0 1 1 1537023322559.986084 1537023340658.585938 18098.600000 24.860000 53.913000 17388.920000 84.551000 24.860000 53.050000 1 1 0 0 8192 0 0 27.147801 24.104000 53.967000 4.039153 1231 64 64 2.783930 0.031000 10.021000 4.831065 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 27512 8 47104 42340 0 699425 1 343 17 25 16403 0 207 0 0 0 0 1 1 8 1 23062 1460 1018 888 1062400 256 2 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 3915 2 - - 0 0 0 85.018000 84.551000 85.027000 0.000000 2754 0 - - 0.0 0.0 -
172.16.1.200 33010 7985 0 7984 45 69714998 7938 70021004 221 306006 4941 1 1 172.16.1.1 50884 16605 0 16605 16601 1906 2 1906 0 0 0 1 1 1537023319512.274902 1537023341177.214111 21664.939000 34.466000 69.126000 21227.322000 118.329000 34.466000 59.151000 1 1 0 0 8192 0 0 27.104717 24.108000 54.643000 3.886211 759 64 64 5.599110 0.114000 10.569000 5.521274 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 65160 9 47104 42340 0 807709 1 343 38 25 4906 0 193 0 0 0 0 1 1 8 1 14870 1460 1018 888 966400 256 7 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 1935 2 - - 0 0 0 128.911000 118.329000 128.916000 0.000000 10041 0 - - 0.0 0.0 -
172.16.1.200 33012 6377 0 6376 45 68785842 6330 69081287 217 295445 3426 1 1 172.16.1.1 50884 15292 0 15292 15288 1906 2 1906 0 0 0 1 1 1537023319512.283936 1537023341177.284912 21665.001000 34.455000 69.081000 21179.589000 120.177000 34.455000 59.170000 1 1 0 0 8192 0 0 27.348128 24.127000 67.116000 4.738189 831 64 64 5.104122 0.149000 10.035000 4.975412 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 65160 7 47104 42340 0 914576 1 343 13 19 3487 0 125 0 0 0 0 1 1 8 1 13350 1460 1018 888 823552 256 6 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 1907 2 - - 0 0 0 128.886000 120.177000 130.517000 0.000000 11082 0 - - 0.0 0.0 -
172.16.1.200 33008 9656 0 9655 45 68325720 9609 68595063 193 269343 6251 1 1 172.16.1.1 50884 17628 0 17628 17624 1906 2 1906 0 0 0 1 1 1537023319501.714111 1537023341179.357910 21677.644000 34.961000 69.749000 21193.406000 107.053000 34.659000 69.343000 1 1 0 0 8192 0 0 27.175009 24.109000 71.135000 4.501525 882 64 64 7.643809 0.383000 10.110000 4.840785 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 65160 4 47104 42340 0 658953 38 343 41 128 6101 0 174 0 0 0 0 1 1 8 1 15979 1460 1018 888 699392 256 8 1018 1 888 0 0 0 0 0 0 0 0 0 0 0 --- 2168 2 - - 0 0 0 79.803000 107.053000 107.436000 0.000000 1713 0 - - 0.0 0.0 -
