#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130 http_hostname:131
172.16.1.200 53824 13 0 12 3 4803 8 4803 0 0 0 1 1 172.16.1.1 50954 10 0 10 6 1906 2 1906 0 0 0 1 1 1537291670831.333008 1537291671048.229980 216.897000 25.295000 51.212000 153.726000 92.892000 24.237000 49.706000 1 1 0 0 8192 0 0 30.296996 24.230000 63.279000 13.682222 8 64 64 0.261993 0.007000 1.026000 0.509334 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 2033 1 343 0 0 0 0 0 0 0 0 0 1 1 8 1 0 1460 1018 888 41216 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 8 2 - - 0 0 0 59.716000 92.892000 93.918000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 53820 13 0 12 3 4907 8 4907 0 0 0 1 1 172.16.1.1 50954 13 0 13 9 1906 2 1906 0 0 0 1 1 1537291670831.193115 1537291671048.250977 217.058000 25.416000 51.293000 153.794000 93.065000 24.367000 49.851000 1 1 0 0 8192 0 0 25.211848 24.213000 33.230000 2.818098 10 64 64 0.261243 0.019000 0.973000 0.474543 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 2137 1 343 0 0 0 0 0 0 0 0 0 1 1 8 1 2 1460 1018 888 39936 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 8 2 - - 0 0 0 59.835000 93.065000 94.038000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 53822 14 0 13 4 4907 8 4907 0 0 0 1 1 172.16.1.1 50954 10 0 10 6 1906 2 1906 0 0 0 1 1 1537291670831.267090 1537291671048.268066 217.001000 25.352000 51.265000 153.735000 93.009000 24.313000 49.781000 1 1 0 0 8192 0 0 30.309246 24.280000 63.273000 13.679276 8 64 64 0.251994 0.007000 0.966000 0.476065 4 64 64 0 0 0 0 0 0 1 1 11 1 1 1460 1369 17 47104 42340 0 2137 1 343 0 0 0 0 0 0 0 0 0 1 1 8 1 0 1460 1018 888 39936 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 8 2 - - 0 0 0 59.772000 93.009000 93.975000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 53818 14 0 13 3 5076 9 5076 0 0 0 1 1 172.16.1.1 50954 11 0 11 7 1906 2 1906 0 0 0 1 1 1537291670830.712891 1537291671048.395020 217.682000 25.864000 51.841000 154.257000 93.537000 24.807000 50.298000 1 1 0 0 8192 0 0 29.726559 24.263000 63.212000 12.891763 9 64 64 0.247494 0.007000 0.948000 0.467078 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 2137 1 343 0 0 0 0 0 0 0 0 0 1 1 8 1 0 1460 1018 888 41984 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 9 2 - - 0 0 0 60.282000 93.537000 94.485000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 40198 9 0 8 3 1767 4 1767 0 0 0 1 1 172.16.1.1 50831 7 0 7 3 1906 2 1906 0 0 0 1 1 1537291676237.392090 1537291676434.678955 197.287000 27.403000 62.402000 124.864000 122.421000 24.420000 52.090000 1 1 0 0 8192 0 0 29.081618 24.244000 47.689000 10.402761 5 64 64 0.573236 0.009000 2.240000 1.111188 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 1369 1 343 0 0 0 0 0 0 0 0 0 1 1 8 1 0 1460 1018 888 33024 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 4 2 - - 0 0 0 74.732000 122.421000 124.661000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 40196 9 0 8 3 1767 4 1767 0 0 0 1 1 172.16.1.1 50831 7 0 7 3 1906 2 1906 0 0 0 1 1 1537291676237.247070 1537291676434.788086 197.541000 27.523000 61.351000 124.977000 122.560000 24.506000 52.226000 1 1 0 0 8192 0 0 29.900802 24.217000 51.725000 12.201071 5 64 64 0.571736 0.009000 2.235000 1.108858 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 1369 1 343 0 0 0 0 0 0 0 0 0 1 1 8 1 0 1460 1018 888 33024 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 4 2 - - 0 0 0 70.835000 122.560000 124.795000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 40194 9 0 8 3 1767 4 1767 0 0 0 1 1 172.16.1.1 50831 7 0 7 3 1906 2 1906 0 0 0 1 1 1537291676237.121094 1537291676435.009033 197.888000 27.647000 59.204000 125.098000 122.674000 24.595000 52.348000 1 1 0 0 8192 0 0 29.916602 24.229000 51.751000 12.206967 5 64 64 0.561986 0.010000 2.201000 1.092683 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 1369 1 343 0 0 0 0 0 0 0 0 0 1 1 8 1 1 1460 1018 888 33024 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 4 2 - - 0 0 0 70.923000 122.674000 124.875000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 40192 22 0 21 3 22185 17 23633 1 1448 0 1 1 172.16.1.1 50831 17 0 17 13 1906 2 1906 0 0 0 1 1 1537291676236.660889 1537291676435.178955 198.518000 28.057000 57.659000 157.872000 108.056000 24.976000 52.798000 1 1 0 0 8192 0 0 26.699148 24.151000 44.983000 6.861496 9 64 64 0.206745 0.020000 0.757000 0.366841 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 2896 38 47104 42340 0 17312 1 343 0 0 0 0 1 0 0 0 0 1 1 8 1 3 1460 1018 888 74496 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 13 2 - - 0 0 0 63.073000 108.056000 108.813000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 41912 6026 0 6025 3 67363836 6021 67376868 9 13032 0 1 1 172.16.1.1 50097 8742 0 8742 8738 1906 2 1906 0 0 0 1 1 1537291675818.489014 1537291692358.081055 16539.592000 25.137000 50.347000 16227.003000 87.526000 24.371000 49.473000 1 1 0 0 8192 0 0 24.548177 24.090000 48.358000 1.088418 2427 64 64 0.110247 0.037000 0.317000 0.137873 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 49232 17 47104 42340 0 292521 1 343 0 4 0 0 5 0 0 0 0 1 1 8 1 3580 1460 1018 888 696064 768 1 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 4157 2 - - 0 0 0 57.251000 87.526000 87.843000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 41910 5978 0 5977 3 67391943 5973 67403527 8 11584 0 1 1 172.16.1.1 50097 8771 0 8771 8767 1906 2 1906 0 0 0 1 1 1537291675818.433105 1537291692358.104004 16539.671000 24.653000 49.379000 16241.567000 85.660000 24.346000 48.861000 1 1 0 0 8192 0 0 24.514873 24.081000 44.111000 0.991365 2491 64 64 0.184745 0.028000 0.633000 0.298990 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 52128 20 47104 42340 0 307095 1 343 0 4 0 0 4 0 0 0 0 1 1 8 1 3679 1460 1018 888 637696 256 2 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 4234 2 - - 0 0 0 57.288000 85.660000 86.293000 0.000000 1713 0 - - 0.0 0.0 -
